name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,production_value,attraction_value
,191,0,,,,0,-111.90620449999999,33.4175059,,749,741
,192,8,,,,0,-111.94577040000001,33.4194034,,749,741
,193,4,,,,0,-111.93491270000001,33.4027678,,749,741
,194,4,,,,0,-111.9327551,33.4033983,,749,741
,195,9,,,,0,-111.9306007,33.4034556,,749,741
,196,9,,,,0,-111.92902140000001,33.4034556,,749,741
,197,9,,,,0,-111.9274078,33.40347,,749,741
,198,9,,,,0,-111.92242990000001,33.4027625,,749,741
,199,9,,,,0,-111.919785,33.4039816,,749,741
,200,7,,,,0,-111.91771709999999,33.4046149,,749,741
,201,7,,,,0,-111.91570159999998,33.4049589,,749,741
,202,7,,,,0,-111.9146136,33.4049572,,749,741
,203,7,,,,0,-111.9113679,33.4049556,,749,741
,204,4,,,,0,-111.939103,33.4025892,,749,741
,205,4,,,,0,-111.93491270000001,33.4026173,,749,741
,206,7,,,,0,-111.90803629999999,33.4040739,,749,741
,207,7,,,,0,-111.9065555,33.4042941,,749,741
,208,3,,turning_circle,,0,-111.9426338,33.4136098,,749,741
,209,0,,,,0,-111.906226,33.427414399999996,,749,741
,210,9,,,,0,-111.92652050000001,33.408338,,749,741
,211,9,,,,0,-111.92652050000001,33.409054499999996,,749,741
,212,5,,,,0,-111.9219906,33.4128945,,749,741
,214,8,,traffic_signals,,0,-111.9349659,33.4219488,,749,741
,215,1,,traffic_signals,,0,-111.92894150000001,33.422019399999996,,749,741
,216,5,,traffic_signals,,0,-111.91770249999999,33.422018699999995,,749,741
,217,0,,,,0,-111.9072885,33.42200089999999,,749,741
,218,0,,,,0,-111.9062477,33.4220216,,749,741
,219,0,,,,0,-111.90546640000001,33.422026,,749,741
,220,5,,,,0,-111.91868410000001,33.4184064,,749,741
,221,4,,turning_circle,,0,-111.94136999999999,33.406633500000005,,749,741
,222,4,,,,0,-111.94197759999999,33.406618,,749,741
,223,4,,turning_circle,,0,-111.94287879999999,33.4066368,,749,741
,225,0,,,,0,-111.9062142,33.4292065,,749,741
,226,8,,,,0,-111.9457575,33.4231776,,749,741
,227,8,,,,0,-111.93667240000002,33.4254992,,749,741
,228,8,,traffic_signals,,0,-111.9349278,33.425439600000004,,749,741
,229,9,,,,0,-111.9275537,33.401850599999996,,749,741
,230,9,,,,0,-111.9306007,33.4018363,,749,741
,231,4,,,,0,-111.934918,33.4010624,,749,741
,232,4,,,,0,-111.9355628,33.4010541,,749,741
,233,4,,,,0,-111.93635990000001,33.4011842,,749,741
,234,4,,,,0,-111.9372354,33.4013777,,749,741
,235,4,,turning_circle,,0,-111.93650590000001,33.400704100000006,,749,741
,236,4,,turning_circle,,0,-111.93555020000001,33.400710700000005,,749,741
,237,4,,turning_circle,,0,-111.9355703,33.401306,,749,741
,238,7,,,,0,-111.9069527,33.4014064,,749,741
,239,7,,,,0,-111.90605149999999,33.4013347,,749,741
,240,9,,,,0,-111.92395810000001,33.4020652,,749,741
,241,9,,turning_circle,,0,-111.92018999999999,33.4017863,,749,741
,242,7,,,,0,-111.9167584,33.402667699999995,,749,741
,243,9,,,,0,-111.9301152,33.4093411,,749,741
,244,9,,,,0,-111.93011680000001,33.4097351,,749,741
,245,9,,,,0,-111.9292499,33.40974,,749,741
,246,7,,,,0,-111.9068283,33.410059600000004,,749,741
,247,7,,,,0,-111.9025094,33.410055,,749,741
,248,7,,turning_circle,,0,-111.90691840000001,33.4023952,,749,741
,249,0,,,,0,-111.9123461,33.415789399999994,,749,741
,250,0,,turning_circle,,0,-111.90834140000001,33.420857500000004,,749,741
,251,0,,,,0,-111.91282460000001,33.4194946,,749,741
,252,0,,stop,,0,-111.91282460000001,33.418372999999995,,749,741
,253,7,,turning_circle,,0,-111.91172069999999,33.4011493,,749,741
,254,5,,,,0,-111.9182827,33.4128801,,749,741
,255,5,,turning_circle,,0,-111.91827479999999,33.4112636,,749,741
,256,7,,,,0,-111.91611599999999,33.4022146,,749,741
,257,7,,,,0,-111.9120325,33.4026879,,749,741
,258,7,,,,0,-111.91114840000002,33.4026875,,749,741
,259,7,,,,0,-111.9106288,33.402703100000004,,749,741
,260,4,,turning_circle,,0,-111.9390808,33.4006468,,749,741
,261,4,,,,0,-111.9375101,33.4006396,,749,741
,262,9,,,,0,-111.93060929999999,33.4010337,,749,741
,263,9,,,,0,-111.9274078,33.4010696,,749,741
,264,5,,,,0,-111.91425729999999,33.4135608,,749,741
,265,5,,,,0,-111.91425729999999,33.4126007,,749,741
,266,5,,,,0,-111.91425729999999,33.4116263,,749,741
,267,7,,turning_circle,,0,-111.9055966,33.4043012,,749,741
,268,7,,,,0,-111.9055966,33.403806800000005,,749,741
,269,4,,,,0,-111.9349112,33.4056267,,749,741
,270,4,,,,0,-111.93388799999998,33.4056338,,749,741
,271,4,,,,0,-111.93276359999999,33.405640999999996,,749,741
,272,9,,,,0,-111.93012,33.4058488,,749,741
,273,1,,,,0,-111.92891979999999,33.4202704,,749,741
,274,1,,,,0,-111.9307043,33.4135726,,749,741
,275,3,,,,0,-111.9457642,33.414638399999994,,749,741
,276,9,,,,0,-111.9274078,33.402688899999994,,749,741
