name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry
,2888,2351,,,residential,0,-111.9095035,33.3548082,POINT (-111.9095035 33.3548082)
,2889,2352,,,residential,0,-111.9389921,33.455396,POINT (-111.9389921 33.455396)
,2890,2353,,,residential,0,-111.9540381,33.3744749,POINT (-111.9540381 33.3744749)
,2891,,,,secondary,0,-111.9646307,33.378171,POINT (-111.9646307 33.378171)
,2892,2354,,,residential,0,-111.9389607,33.4561198,POINT (-111.9389607 33.4561198)
,2893,,,,secondary,0,-111.9632738,33.378295,POINT (-111.9632738 33.378295)
,2894,,,,secondary,0,-111.9631697,33.3784072,POINT (-111.9631697 33.3784072)
,2895,2355,,,residential,0,-111.9544744,33.3736834,POINT (-111.9544744 33.3736834)
,2896,2356,,turning_circle,residential,0,-111.9104142,33.3330664,POINT (-111.9104142 33.3330664)
,2897,2357,,,residential,0,-111.9545595,33.3732003,POINT (-111.9545595 33.3732003)
,2898,2358,,,residential,0,-111.9545624,33.3718317,POINT (-111.9545624 33.3718317)
,2899,2359,,,residential,0,-111.9362359,33.3301268,POINT (-111.9362359 33.3301268)
,2900,,,,secondary,0,-111.9609765,33.3879026,POINT (-111.9609765 33.3879026)
,2901,2360,,,residential,0,-111.9545864,33.3700442,POINT (-111.9545864 33.3700442)
,2902,2361,,,residential,1,-111.9650921,33.4059373,POINT (-111.9650921 33.4059373)
,2903,2362,,,residential,1,-111.9649735,33.4058861,POINT (-111.9649735 33.4058861)
,2904,2363,,,residential,0,-111.9545819,33.3691885,POINT (-111.9545819 33.3691885)
,2905,2364,,,residential,0,-111.9545777,33.3678378,POINT (-111.9545777 33.3678378)
,2906,2365,,,residential,0,-111.9357085,33.3249678,POINT (-111.9357085 33.3249678)
,2907,2366,,,residential,0,-111.9349731,33.388776,POINT (-111.9349731 33.388776)
,2908,2367,,,residential,0,-111.9697507,33.3833192,POINT (-111.9697507 33.3833192)
,2909,2368,,,residential,0,-111.9545697,33.3665539,POINT (-111.9545697 33.3665539)
,2910,2369,,,residential,0,-111.9705963,33.3833306,POINT (-111.9705963 33.3833306)
,2911,2370,,,residential,0,-111.935049,33.3887745,POINT (-111.935049 33.3887745)
,2912,2371,,,residential,0,-111.9743814,33.3851979,POINT (-111.9743814 33.3851979)
,2913,,,traffic_signals,secondary,0,-111.9286891,33.3782589,POINT (-111.9286891 33.3782589)
,2914,2372,,,residential,0,-111.9495327,33.3697687,POINT (-111.9495327 33.3697687)
,2915,2373,,,residential,0,-111.9766215,33.385481,POINT (-111.9766215 33.385481)
,2916,2374,,,residential,0,-111.9312703,33.4499061,POINT (-111.9312703 33.4499061)
,2917,2375,,,residential,0,-111.9545658,33.3649936,POINT (-111.9545658 33.3649936)
,2918,,,,secondary,0,-111.9631792,33.349029,POINT (-111.9631792 33.349029)
,2919,,,,secondary,0,-111.9631666,33.349005,POINT (-111.9631666 33.349005)
,2920,,,,secondary,0,-111.9632297,33.3491215,POINT (-111.9632297 33.3491215)
,2921,2376,,,residential,0,-111.9545556,33.3641049,POINT (-111.9545556 33.3641049)
,2922,2377,,traffic_signals,residential,0,-111.9545275,33.3636855,POINT (-111.9545275 33.3636855)
,2923,2378,,,residential,0,-111.9545337,33.3631094,POINT (-111.9545337 33.3631094)
,2924,,,,tertiary,0,-111.9068686,33.349882,POINT (-111.9068686 33.349882)
,2925,,,traffic_signals,tertiary,0,-111.9068539,33.3491012,POINT (-111.9068539 33.3491012)
,2926,2379,,,residential,0,-111.9545251,33.3613674,POINT (-111.9545251 33.3613674)
,2927,2380,,,residential,0,-111.9545251,33.360629,POINT (-111.9545251 33.360629)
,2928,2381,,,residential,0,-111.9091721,33.4208613,POINT (-111.9091721 33.4208613)
,2929,2382,,,residential,0,-111.9547054,33.3599552,POINT (-111.9547054 33.3599552)
,2930,2383,,,residential,0,-111.9545682,33.3662216,POINT (-111.9545682 33.3662216)
,2931,,,,tertiary,0,-111.959444,33.4301247,POINT (-111.959444 33.4301247)
,2932,2384,,turning_circle,residential,0,-111.9409825,33.3302291,POINT (-111.9409825 33.3302291)
,2933,2385,,,residential,0,-111.9176737,33.445108,POINT (-111.9176737 33.445108)
,2934,2386,,,residential,0,-111.917669,33.4451702,POINT (-111.917669 33.4451702)
,2935,,,,primary,0,-111.9273919,33.4402757,POINT (-111.9273919 33.4402757)
,2936,2387,,turning_circle,residential,0,-111.9295136,33.4495971,POINT (-111.9295136 33.4495971)
,2937,2388,,,residential,0,-111.928269,33.4581892,POINT (-111.928269 33.4581892)
,2938,,,,secondary,0,-111.894004,33.3637981,POINT (-111.894004 33.3637981)
,2939,2389,,,residential,0,-111.8919716,33.4184206,POINT (-111.8919716 33.4184206)
,2940,2390,,,residential,0,-111.8919451,33.4166172,POINT (-111.8919451 33.4166172)
,2941,,,,others,0,-111.8919843,33.4129453,POINT (-111.8919843 33.4129453)
